ID,Year,Erupt Date,Name,Location,Island,Country,Latitude,Longitude,Geo Location,Elevation (m),Type
113,1967,8/31/1967,Semeru,Java,Java,Indonesia,-8.108,112.922,"-8.108,112.922",3657,Stratovolcano
114,1969,1/7/1969,Merapi,Java,Java,Indonesia,-7.54,110.446,"-7.54,110.446",2910,Stratovolcano
115,1969,1/28/1969,Iya,Lesser Sunda Is,Nusa Tenggara,Indonesia,-8.891,121.641,"-8.891,121.641",618,Stratovolcano
116,1973,1/1/1973,Paluweh,Lesser Sunda Is,Nusa Tenggara,Indonesia,-8.32,121.708,"-8.32,121.708",875,Stratovolcano
117,1973,12/1/1973,Iliwerung,Lesser Sunda Is,Nusa Tenggara,Indonesia,-8.53,123.57,"-8.53,123.57",1018,Complex volcano
118,1974,2/11/1974,Karangetang,Sangihe Is-Indonesia,Sangihe,Indonesia,2.781,125.407,"2.781,125.407",1797,Stratovolcano
119,1974,10/22/1974,Merapi,Java,Java,Indonesia,-7.54,110.446,"-7.54,110.446",2910,Stratovolcano
120,1975,1/1/1975,Marapi,Sumatra,Sumatra,Indonesia,-0.38,100.474,"-0.38,100.474",2885,Complex volcano
121,1976,8/31/1976,Semeru,Java,Java,Indonesia,-8.108,112.922,"-8.108,112.922",3657,Stratovolcano
122,1976,9/15/1976,Karangetang,Sangihe Is-Indonesia,Sangihe,Indonesia,2.781,125.407,"2.781,125.407",1797,Stratovolcano
123,1976,11/25/1976,Merapi,Java,Java,Indonesia,-7.54,110.446,"-7.54,110.446",2910,Stratovolcano
124,1978,9/19/1978,Semeru,Java,Java,Indonesia,-8.108,112.922,"-8.108,112.922",3657,Stratovolcano
125,1978,1/1/1978,Tangkuban Parahu,Java,Java,Indonesia,-6.77,107.6,"-6.77,107.6",2084,Stratovolcano
126,1979,2/20/1979,Dieng Volcanic Complex,Java,Java,Indonesia,-7.2,109.879,"-7.2,109.879",2565,Complex volcano
127,1979,7/18/1979,Iliwerung,Lesser Sunda Is,Nusa Tenggara,Indonesia,-8.53,123.57,"-8.53,123.57",1018,Complex volcano
128,1981,3/29/1981,Semeru,Java,Java,Indonesia,-8.108,112.922,"-8.108,112.922",3657,Stratovolcano
129,1981,5/14/1981,Semeru,Java,Java,Indonesia,-8.108,112.922,"-8.108,112.922",3657,Stratovolcano
130,1981,9/5/1981,Paluweh,Lesser Sunda Is,Nusa Tenggara,Indonesia,-8.32,121.708,"-8.32,121.708",875,Stratovolcano
131,1981,10/20/1981,Krakatau,Indonesia,Java,Indonesia,-6.102,105.423,"-6.102,105.423",155,Caldera
132,1982,5/17/1982,Galunggung,Java,Java,Indonesia,-7.25,108.058,"-7.25,108.058",2168,Stratovolcano
133,1983,7/23/1983,Colo,Sulawesi-Indonesia,Sulawesi,Indonesia,-0.162,121.601,"-0.162,121.601",404,Stratovolcano
134,1983,8/17/1983,Iliwerung,Lesser Sunda Is,Nusa Tenggara,Indonesia,-8.53,123.57,"-8.53,123.57",1018,Complex volcano
135,1985,5/10/1985,Semeru,Java,Java,Indonesia,-8.108,112.922,"-8.108,112.922",3657,Stratovolcano
136,1986,10/15/1986,Merapi,Java,Java,Indonesia,-7.54,110.446,"-7.54,110.446",2910,Stratovolcano
137,1987,12/1/1987,Sirung,Lesser Sunda Is,Nusa Tenggara,Indonesia,-8.508,124.13,"-8.508,124.13",862,Complex volcano
138,1988,7/30/1988,Semeru,Java,Java,Indonesia,-8.108,112.922,"-8.108,112.922",3657,Stratovolcano
139,1990,2/10/1990,Kelut,Java,Java,Indonesia,-7.93,112.308,"-7.93,112.308",1731,Stratovolcano
140,1990,11/25/1990,Kelut,Java,Java,Indonesia,-7.93,112.308,"-7.93,112.308",1731,Stratovolcano
141,1991,10/24/1991,Lokon-Empung,Sulawesi-Indonesia,Sulawesi,Indonesia,1.358,124.792,"1.358,124.792",1580,Stratovolcano
142,1992,1/21/1992,Karangetang,Sangihe Is-Indonesia,Sangihe,Indonesia,2.781,125.407,"2.781,125.407",1797,Stratovolcano
143,1992,3/18/1992,Dieng Volcanic Complex,Java,Java,Indonesia,-7.2,109.879,"-7.2,109.879",2565,Complex volcano
144,1992,5/11/1992,Karangetang,Sangihe Is-Indonesia,Sangihe,Indonesia,2.781,125.407,"2.781,125.407",1797,Stratovolcano
145,1992,7/5/1992,Marapi,Sumatra,Sumatra,Indonesia,-0.38,100.474,"-0.38,100.474",2885,Complex volcano
146,1992,1/1/1992,Semeru,Java,Java,Indonesia,-8.108,112.922,"-8.108,112.922",3657,Stratovolcano
147,1993,1/21/1993,Wurlali,Banda Sea,Banda,Indonesia,-7.125,128.675,"-7.125,128.675",868,Stratovolcano
148,1993,6/13/1993,Krakatau,Indonesia,Java,Indonesia,-6.102,105.423,"-6.102,105.423",155,Caldera
149,1994,2/3/1994,Semeru,Java,Java,Indonesia,-8.108,112.922,"-8.108,112.922",3657,Stratovolcano
150,1994,11/3/1994,Rinjani,Lesser Sunda Is,Nusa Tenggara,Indonesia,-8.42,116.47,"-8.42,116.47",3726,Stratovolcano
